question_text,correct_option,nivel_dificultad,category,points,option_a,option_b,option_c
¿En qué año se fundó la Organización de las Naciones Unidas (ONU)?,A,1,sociedad,10,1945,1950,1930
¿Quién escribió 'Cien años de soledad'?,C,1,sociedad,10,Gabriel García Márquez,Mario Vargas Llosa,Isabel Allende
¿Cuántos continentes hay en el mundo?,A,1,sociedad,10,5,7,10
¿En qué año se produjo la Revolución Rusa?,A,1,sociedad,10,1917,1920,1905
¿Cuál es el océano más grande del mundo?,C,1,sociedad,10,Océano Atlántico,Océano Índico,Océano Pacífico
¿Quién pintó la Mona Lisa?,A,1,sociedad,10,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh
¿Cuál es el río más largo del mundo?,A,1,sociedad,10,Río Amazonas,Río Nilo,Río Misisipi
¿Quién fue el primer presidente de Estados Unidos?,A,1,sociedad,10,George Washington,Thomas Jefferson,John Adams
¿En qué año se fundó la Organización de las Naciones Unidas (ONU)?,A,1,sociedad,10,1945,1950,1930
¿En qué año se produjo la Revolución Rusa?,A,1,sociedad,10,1917,1920,1905
¿En qué país se encuentra la Gran Muralla China?,A,1,sociedad,10,China,India,Japón
¿Cuál es la montaña más alta del mundo?,A,1,sociedad,10,Monte Everest,K2,Monte Kilimanjaro
¿En qué año se celebró la independencia de México?,A,1,sociedad,10,1810,1820,1830
¿Quién escribió 'Don Quijote de la Mancha'?,B,1,sociedad,10,Miguel de Cervantes,Sor Juana Inés de la Cruz,Federico García Lorca
¿Cuál es la moneda oficial de Japón?,C,1,sociedad,10,Yen,Won,Rupia
¿En qué año se llevó a cabo la Revolución Francesa?,B,1,sociedad,10,1789,1800,1750
¿Quién fue el primer ser humano en llegar al espacio?,A,1,sociedad,10,Yuri Gagarin,Neil Armstrong,Buzz Aldrin
¿Cuál es el país más grande del mundo por superficie terrestre?,C,1,sociedad,10,Rusia,Canadá,Estados Unidos
¿En qué continente se encuentra el desierto del Sahara?,A,1,sociedad,10,África,Asia,América
¿Cuál es la ciudad más poblada del mundo?,C,1,sociedad,10,Tokio,Shanghái,Mumbai
¿En qué año se declaró la independencia de Estados Unidos?,A,1,sociedad,10,1776,1789,1800
¿Quién fue la primera mujer en recibir un Premio Nobel?,C,1,sociedad,10,Marie Curie,Rosa Luxemburgo,Emmeline Pankhurst
¿Cuál es el canal de televisión más antiguo del mundo?,A,1,sociedad,10,BBC,NBC,CBS
¿En qué año comenzó la segunda guerra mundial?,A,1,sociedad,10,1939,1940,1941
¿Quién fue el primer emperador romano?,A,1,sociedad,10,César Augusto,Nerón,Calígula
