cuadro,autor,year,description,option_a,option_b,option_c,image
La persistencia de la memoria,Salvador Dalí,1931,Conocida también como Los relojes blandos.Esta obra surrealista presenta relojes derretidos en un paisaje onírico,Salvador Dalí,Pablo Picasso,René Magritte,images/la_persistencia_de_la_memoria.jpg
Guernica,Pablo Picasso,1937,Un poderoso cuadro que protesta contra la brutalidad de la Guerra Civil Española representando el sufrimiento de los civiles,Pablo Picasso,Frida Kahlo,Vincent van Gogh,images/guernica.jpg
Noche estrellada sobre el Ródano,Vincent van Gogh,1888,Una representación impresionista de la noche estrellada reflejada en las aguas del río Ródano,Vincent van Gogh,Edgar Degas,Sandro Botticelli,images/noche_estrellada_sobre_el_rodano.jpeg
La joven de la perla,Jan Vermeer van Delft,1665,Un retrato enigmático de una mujer con un turbante y una perla iluminada por una luz suave,Jan Vermeer van Delft,Rembrandt Harmenszoon van Rijn,Claude Monet,images/la_joven_de_la_perla.jpeg
El grito,Edvard Munch,1893,Una expresión angustiosa y emotiva que representa la ansiedad humana en un paisaje surreal,Edvard Munch,Claude Monet,Sandro Botticelli,images/el_grito.jpeg
El nacimiento de Venus,Sandro Botticelli,1484-1486,Una obra maestra del Renacimiento que representa el nacimiento de la diosa Venus en una concha marina,Sandro Botticelli,Raphael Sanzio,Claude Monet,images/nacimiento_de_venus.jpeg
La última cena,Leonardo da Vinci,1495-1498,Una icónica representación de Jesús y sus apóstoles durante la última cena antes de la crucifixión,Leonardo da Vinci,Michelangelo Buonarroti,Gustav Klimt,images/la_ultima_cena.jpeg
La Gioconda (Mona Lisa),Leonardo da Vinci,1503-1506,Una obra maestra del Renacimiento que presenta a una mujer con una sonrisa enigmática,Leonardo da Vinci,Caravaggio,Diego Rivera,images/la_gioconda.jpeg
El jardín de las delicias,El Bosco,1490-1510,Una pintura surrealista que representa el Edén la vida terrenal y el Infierno en un tríptico fascinante,El Bosco,Albrecht Dürer,Jan van Eyck,images/el_jardin_de_las_delicias.jpeg
La creación de Adán,Miguel Ángel,1508-1512,Parte de la Capilla Sixtina muestra el momento en que Dios le da la vida a Adán,Miguel Ángel,Raphael Sanzio,Leonardo da Vinci,images/la_creacion_de_adan.jeg
La lección de anatomía del Dr. Nicolaes Tulp,Rembrandt Harmenszoon van Rijn,1632,Una obra maestra que representa una disección anatómica realizada por el Dr. Tulp,Rembrandt Harmenszoon van Rijn,Jan Vermeer van Delft,Johannes Vermeer,images/la_leccion_de_anatomia_del_dr_nicolaes_tulp.jpeg
Los amantes,René Magritte,1928-1929,Una obra surrealista que representa a dos amantes besándose con los rostros cubiertos por telas,René Magritte,Salvador Dalí,Pablo Picasso,images/los_amantes.jpeg
Los girasoles,Vincent van Gogh,1888,Una serie de cuadros que representan girasoles en distintos estados de floración,Vincent van Gogh,Claude Monet,Pablo Picasso,images/los_girasoles.jpeg
Las tres gracias,Peter Paul Rubens,1635,Una obra maestra que representa a tres figuras femeninas simbolizando la belleza la gracia y la alegría,Peter Paul Rubens,Henri Matisse,J.M.W. Turner,images/las_tres_gracias.jpeg
